Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Mifos X Web App Enhancements ,"The objective of the Mifos X Web App Enhancements project is to refine essential workflows, enhance app localization, integrate more comprehensive...", Vikesh Kumar , Mentor  Radha Ravindra Thakare , Organization  The Mifos Initiative ,/archive/2024/projects/JLCf8L6w,https://gist.github.com/vikashsprem/de573a3ea89d55c08eb5eb91474738e6
2, IIO Driver: AD7294-2 ADC/DAC ,"IIO (Industrial I/O) subsystem provides support for various sensors in the Linux kernel. It hosts drivers for a wide array of ADCs, accelerometers,...", Anshul Dalal ," Mentor  Dragos, Rishabh Maheshwari, Marcelo Schmitt ", Organization  The Linux Foundation ,/archive/2024/projects/WRrGoMYJ,https://github.com/analogdevicesinc/linux/pull/2578
3, Improve Clang-Doc ,"Clang-Doc is a documentation generator developed on top of libtooling developed as an alternative to Doxygen. Development started in 2018, and...", Peter Chou ," Mentor  Petr Hosek, Paul Kirth ", Organization  LLVM Compiler Infrastructure ,/archive/2024/projects/QxXUJDJH,https://docs.google.com/document/d/14ESc1PasY0PJ4yqXNQIUUmloGIs4kptYI_Sb8AIrQ28/edit?tab=t.0
4, Bookmarks Tree View-GSOC ,"The goal of this project is to reintroduce a tree view functionality into Chrome's bookmarks side panel, addressing user feedback and enhancing...", Paras Awasthi ," Mentor  Stephen, Alison Gale, Emily Shack ", Organization  Chromium ,/archive/2024/projects/44PQeDCY,https://docs.google.com/document/d/1QOMbtCIYGPqi5KFDKwdHbY7Cso-0C52J_D6HWOIUl_I/edit?usp=sharing
5, Scala Sampler for Functional Soundscapes ,This proposal aims to develop a sampler instrument for the Sounds of Scala project. Sounds of Scala is a web audio and music library that runs on the..., Johanna Odersky ," Mentor  Noel Welsh, Paul Matthews ", Organization  Scala Center ,/archive/2024/projects/6fFGNWW8,https://gist.github.com/ikukojohanna/5e23c4bd79e24c2aeb8454b2507981d1
6, Libreoffice Theme ,"Libreoffice uses its own GUI Library VCL, which interfaces with various backends like GTK, QT, Windows UI, and macOS X UI. VCL gets colors for the UI...", Sahil Gautam ," Mentor  Heiko Tietze, Rafael Lima ", Organization  LibreOffice ,/archive/2024/projects/M5PxrB9V,https://gerrit.libreoffice.org/c/core/+/168016
7, MacOS Distributable For MetaCall ,"MetaCall has multiple embedded runtimes and aims for cross-platform versatility. However, managing dependencies across different runtimes poses a...", Prakhar Gurunani ," Mentor  Gil Arasa Verge, fervagar ", Organization  MetaCall ,/archive/2024/projects/4voBf8uO,https://prakhargurunani.com/blog/bringing-metacall-to-macos-my-gsoc-2024-journey/
8, Creating a blockchain based community funding platform ,"This project aims to develop a blockchain-based funding platform. At its core, the platform utilizes a proportionality formula to determine the...", Aditya Bhattad ," Mentor  Bruno, jddeep, hackeramitkumar, Abanda Ludovic, Kumar Harsh, Chandan S Gowda, Harish Dendukuri, Prarabdh Shukla ", Organization  AOSSIE ,/archive/2024/projects/BTi5ly6d,https://gist.github.com/adityabhattad2021/74fbb611492b60b2df4c55add3ea7a49
9, WebFL - WebGPU for Federated Learning ,Federated Learning (FL) is a machine learning (ML) approach that allows models to be trained collaboratively and distributedly without sharing..., emsdv ," Mentor  TusmanNagMania, WiztaMax, MadFeminine ", Organization  C2SI ,/archive/2024/projects/l7SskZNS,https://github.com/c2siorg/GSoC/blob/master/GSoC-2024/05-emsdv-WebFL-WebGPU-for-Federated-Learning.md
10, Improve searchability and filtering of PageTriage feed ,"PageTriage is an MediaWiki extension that allows patrollers on the English Wikipedia to track, categorize and deal with problematic new pages. One of...", Angel Sharma ," Mentor  Sohom Datta, theresnotime ", Organization  Wikimedia Foundation ,/archive/2024/projects/XvSpfTtQ,https://medium.com/@rockingpenny4/gsoc24-final-report-83fc9f5112b3
11, [DaCe-Debug] Retaining Semantic Source Information in Dataflow Representations ,The DaCe framework uses the Stateful DataFlow multiGraph (SDFG) data-centric intermediate representation. This graph maps to a variety of..., luca-patrignani , Mentor  Philipp Schaad , Organization  Scalable Parallel Computing Laboratory ,/archive/2024/projects/mdJCmWfa,https://gist.github.com/luca-patrignani/cd90b28914a118d3d65c2355511555be
12, 3D edit of masks in InVesalius ,"The InVesalius software operates with the visualization, reconstruction and edition of CT and MRI images, and is mainly applied to operate on brain...", Henrique Núñez ," Mentor  Thiago F Moraes, Paulo Henrique Junqueira Amorim, Renan Matsuda ", Organization  Invesalius ,/archive/2024/projects/DwUUVgie,https://guara.tech/posts/gsoc_2024_invesalius/
13, Lpython : Implementation of classes and OOP features ,LPython currently doesn't support classes and object oriented programming paradigm. This goal of this project is to implement classes and OOP..., Tanay Manerikar ," Mentor  Ondřej Čertík, Mohammed Ubaid Shaikh ", Organization  Python Software Foundation ,/archive/2024/projects/vraweVZr,https://github.com/tanay-man/gsoc24-work-product/blob/main/README.md
