Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Support call hierarchy in Haskell Language Server ,"This proposal aims to add call hierarchy support in Haskell Language Server(HLS).
Language Server Protocol(LSP) has supported call hierarchy in 3.16,...", Lei Zhu ," Mentor  Javier Neira, Pepeiborra ", Organization  Haskell.org ,/archive/2021/projects/4749885739368448,https://github.com/haskell/haskell-language-server/pull/1955
2, Improve pure Elm markdown parser ,"This project is based on the idea Improve pure Elm markdown parser. As the idea described, some specs of the pure Elm markdown parser...", Jinyi , Mentor  Dillon Kearns , Organization  Elm Tooling ,/archive/2021/projects/4755132679454720,https://lulu-gsoc-blog.netlify.app/process/
3, SecureTea - Improvement in Features ,"SecureTea Project provides a one-stop security solution for various devices, I would like to contribute the following features to the Project to make...", Aman V. Singh ," Mentor  Rejah Rehim, Ade Yoseman Putra ", Organization  OWASP Foundation ,/archive/2021/projects/4757291168956416,https://gist.github.com/prince-7/ac7a8f8223825aa6ef5051ae37ebc54f
4, Create p5 Music examples - interactive and generative ,Create example functions for interacting with sound on p5.js and also examples for creating visuals as feedback to sound. These could be further..., Stuti Mohgaonkar , Mentor  Luisa Pereira , Organization  Processing Foundation ,/archive/2021/projects/4757876492468224,https://thirsty-jobaria-fd1.notion.site/Code-of-Music-GSoC-84ad01fc7bad477cbf1522e3050b458f
5, mne-python intracranial electrode localization toolbox ,Intracranial electrophysiology is commonly recorded during and after invasive brain surgeries in epilepsy patients to determine where seizure..., alexrockhill ," Mentor  agramfort, Eric Larson ", Organization  Python Software Foundation ,/archive/2021/projects/4762844964323328,https://gist.github.com/alexrockhill/6428d3b1c54109780cfb6623936898d4
6, Newman Dashboard ,Newman Dashboard is a real-time WebUI dashboard which can let users control and view the currently executing as well as the previously executed..., Manan Sharma-1 ," Mentor  coditva, Shivangi Bajpai ", Organization  Postman ,/archive/2021/projects/4763661343653888,https://gist.github.com/elit-altum/861429dd3786588ec9877e7ac19b7b63
7, Add Examples and Fix Bugs in Swift Processing ,This proposal fulfills the need for continued development of the Swift Processing code base. This means that bugs would be fixed and more..., Masood Kamandy , Mentor  Jonathan Kaufman , Organization  Processing Foundation ,/archive/2021/projects/4764288073334784,https://gist.github.com/masoodkamandy/5f92e756489d884a022f88f2fe679de8
8, Anti-spoofing Techniques for GNSS Receivers ,This project involves implementation of various anti-spoofing techniques in GNSS-SDR. These techniques include consistency checks to verify and..., harshadms , Mentor  glamountain , Organization  GNSS-SDR ,/archive/2021/projects/4767907556360192,https://harshadsathaye.com/gsoc21/
9," Redesign, develop and refactor APISIX landing page ","I propose my project idea relating to Apache APISIX growth, titled ""Redesign, develop and refactor Apache APISIX landing page and documentation...", ShivamSingh ," Mentor  Shuyang Wu, Zhiyuan Ju, Ming Wen ", Organization  The Apache Software Foundation ,/archive/2021/projects/4768141195870208,https://gist.github.com/1502shivam-singh/08dfa68024c4503f12cc22df81c4ff96
10, Cloning and compatibility improvements for Snare ,"I plan to work heavily on improving the cloning capabilities of Snare, modify and upgrade aiohttp to be compatible with Tanner (v3.7.4) and add...", krishna11 ," Mentor  Evgeniia Tokarchuk, mzfr ", Organization  The Honeynet Project ,/archive/2021/projects/4768867716431872,https://github.com/mushorg/tanner/wiki/GSoC-2021-Work-Product-Submission
11, Depicting of Graphical Communication Systems (GCS) in Aztec/Central Mexican manuscripts with Deep Learning: glyphic visual recognition and deciphering using Keras ,"Among all the human writing communication systems and inspired by Google Arts & Culture project
Fabricius, we propose the creation of a framework to...", Lisardo Pérez Lugones ," Mentor  Juan Jose Batalla Rosado, Jungseock Joo, Stephanie Wood ", Organization  Red Hen Lab ,/archive/2021/projects/4769685135949824,https://github.com/lisardop/GSoC2021
12, Accelerate OpenCV.js DNN via WebNN ,OpenCV.js exposes JavaScript API of dnn module that allows web apps to do deep learning model inference in web browsers. This capability enables web..., Hanxi Guo , Mentor  Ningxin Hu , Organization  OpenCV ,/archive/2021/projects/4779460481515520,https://github.com/opencv/opencv/pull/20406
13, Implement TES in Galaxy/Pulsar ,"To increase the interoperability of the Galaxy Platform with GA4GH Cloud-compliant solutions, the goal of this project is to add support for the TES...", Vipul Chhabra ," Mentor  Kyle Ellrott, Alexander Kanitz ", Organization  Global Alliance for Genomics and Health ,/archive/2021/projects/4779531717574656,https://gist.github.com/vipulchhabra99/ad41343524cb6ba5d27f57098fca0c58
