Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Official Release  of Open-source Uptane Server (“OTA Community Edition”) ,"It’s no longer easy for an individual developer to make use of Uptane, be it for an early-stage automotive project using Automotive Grade Linux or...", dxxepxxth ," Mentor  Jon Oster, Simão Mata ", Organization  The Linux Foundation ,/archive/2022/projects/0qIdlcTq,https://gist.github.com/d80ep08th/d72f7e44efbee62cda83b7fc1a0c5a98
2, Fractal: Media history viewer ,This project consists of adding a media history viewer to Fractal. Fractal is a Matrix client powered by GTK and Rust. A media history viewer is a..., Marco Melorio , Mentor  Julian Sparber , Organization  GNOME Foundation ,/archive/2022/projects/O82HZ9E2,https://gitlab.gnome.org/GNOME/fractal/-/merge_requests/1112
3, Add Initial Integration of Clad with Enzyme ,"Clad is an open source plugin to the Clang compiler that detects from the parsed Abstract syntax tree, calls to differentiate a defined function,...", Manish Kausik ," Mentor  Vassil Vassilev, David Lange, William Moses ", Organization  CERN-HSF ,/archive/2022/projects/JQIwOjSz,https://gist.github.com/Nirhar/0e2a2970629765182c91fa48a90bb988
4, PyElastica - Run-time visualization of simulations ,"When utilising numerical simulations, particularly with large systems, it can be invaluable to have strong visualization tools to help gain a better...", Hamzah ," Mentor  Noel, ArmanT, Seung Hyun Kim ", Organization  Python Software Foundation ,/archive/2022/projects/WxAsgQUG,https://github.com/hh-19/PyElasticaVisualizer
5, PSF GSoC: Resolve bugs and usage issues on Python-blogs ,"This project aims to add enhancements, solve issues and improve the user interface of the Python Software Foundation GSoC Blog platform. Currently,...", diwash007 ," Mentor  John 'Warthog9' Hawley, Morgan ""indrora"" Gangwere, Meflin, Ben, Matthew, Kushal Das ", Organization  Python Software Foundation ,/archive/2022/projects/j81ZcnAr,https://medium.com/@diwashdahal/final-submission-google-summer-of-code-2022-1a02b990be7
6, Pocket Paint for Android: Landing Page ,"The project proposes to implement the landing/home page for Pocket Paint, which will be a gallery kind of a view in which the user will be able able...", Saarthak Seth ," Mentor  Stefan Kutschera, Julia Herold ", Organization  International Catrobat Association ,/archive/2022/projects/qSUbPIm2,https://gist.github.com/CodeChamp-SS/0c12eb63db4143dba96492d268bb1b42
7, Developing a tool to easily store data and study details ,The project aims to create a user-friendly GUI to select simulation results and convert them to a BIDS-compliant structure following the BEP034..., Dinara Issagaliyeva , Mentor  Jil Meier , Organization  INCF ,/archive/2022/projects/fOfEvdYx,https://dissagaliyeva.github.io/gsoc.html
8, Adding annotated observations to World maps ,World maps serve as a key entryway for inexperienced and new users at Our World in Data. They are especially impactful in crafting a striking image..., Karthik Krishna ," Mentor  Daniel Gavrilov, Daniel Bachler ", Organization  Our World In Data ,/archive/2022/projects/9CQnV7Fs,https://docs.google.com/document/d/1oNp2NCGrF0Iw_vHj4HcPB9Bb3MWKQm0E8s_d1rP9H9g/edit?usp=sharing
9, Addition of new losses to tensorflow similarity ,I propose to add new loss functions which make improvements over the existing ones for metric learning. I also propose to improve documentation and..., Abhishar , Mentor  Yusuf Sarıgöz , Organization  TensorFlow ,/archive/2022/projects/p8RPezSR,https://github.com/tensorflow/similarity/pull/286
10, Playground for UIKit ReactJS components ,"RocketChat UIKit Playground is a proposed Component playground that will allow us to build, test, and browse our UIKit components in isolation. When...", Vivek Srivastava ," Mentor  Martin Schoeler, Guilherme Gazzo ", Organization  rocket.chat ,/archive/2022/projects/YwGArhRg,https://github.com/intVivek/RCplayground
11," Implement>Client-side Tracking-, Malware and Ad-Blocker ","Being a privacy enthusiast and an end user, the idea proposed by LEAP group for implementing Client-side Tracking-, Malware and Ad-Blocker really...", Pratik Lagaskar ," Mentor  LEAP, kwadronaut ", Organization  LEAP Encryption Access Project ,/archive/2022/projects/CXLvzRHp,https://0xacab.org/warlordsam/gsoc-22-work-product-summary
12, Fixture Generation for Testing ,"Kolibri lacks representable authentic testing data , also generating testing data utilities are run during unit test runtime making them not so...", Bedo Khaled , Mentor  José L. Redrejo , Organization  Learning Equality ,/archive/2022/projects/SvWwlwgO,https://github.com/learningequality/kolibri/pull/9652
