Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Improve Programs & Events Dashboard UX for Article Scoped Programs ,Wiki Education Dashboard is a complex web app for keeping track of contributions to Wikimedia projects. It's widely used by the global Wikimedia..., Shashwat , Mentor  Sage Ross , Organization  Wikimedia Foundation ,/archive/2023/projects/bYYS2TTa,https://gist.github.com/TheTrio/6d1f60303259483f76558a3aa92e6dbc
2, Pajamas Migration - GitLab Foundations Team ,"GitLab has been pushing initiatives such as Pajamas Migration Days, Hackathons, and Internal OKRs to ensure that the platform’s interface aligns with...", Shane Maglangit , Mentor  James Rushford , Organization  GitLab ,/archive/2023/projects/Bm648ysU,https://gitlab.com/-/snippets/2580388
3, [GSOC-242] Project proposal for Airflow ,Overview This project aims to create a tool for Apache PMCs that will automate analysis of contributor activity in any given Apache repository...., Aibek ," Mentor  Aizhamal, Pablo E ", Organization  Apache Software Foundation ,/archive/2023/projects/h1cLBx3O,https://github.com/AibekYrysbekov/airflow/tree/main/community/pmc-tool
4, DirtViz 2.0 - A web-based dataviz tool for sensor networks ,"DirtViz 2.0 is a proposed project that aims to enhance the capabilities of DirtViz 1.0, a data visualization tool for sensor networks. The new...", Zhouyixian Li , Mentor  Colleen Josephson , Organization  UC OSPO ,/archive/2023/projects/wCyITjfo,https://github.com/jlab-sensing/DirtViz/tree/reformat-charts
5, VLC Qt Interface Redesign ,I propose to update VLC Media Player by leveraging Qt to design a more modern and elegant interface which would result in a heightened user..., Mohit Marathe , Mentor  chubinou , Organization  VideoLAN ,/archive/2023/projects/z26bcE5j,https://github.com/mohit-marathe/vlc-gsoc-2023-report
6, Make GNOME Platform Demos for Workbench ,GOAL OF THE PROJECT: 1) Create beginner-friendly and easy-to-understand examples/demos for all widgets of GTK 4.10 and Libadwaita 1.3 to help..., Sriyansh Shivam ," Mentor  Sonny Piers, Andy Holmes ", Organization  GNOME Foundation ,/archive/2023/projects/3Bjrr6So,https://sonichere.hashnode.dev/gsoc-2023-final-report
7, Extending Continuum mechanics module: Introducing classes for Cables and Improving the Truss class ,The project aims at Extending the continuum mechanics module. The primary aim of the project is : 1) Improving methods for Truss class - The project..., Ishan Pandhare ," Mentor  Prakhar Saxena, Advait Pote ", Organization  SymPy ,/archive/2023/projects/ESmmn5ye,https://tinyurl.com/gsoc23IshanP
8, REST API improvements ,"Fossology is focusing on the development of a new UI framework, which requires adequate support from REST APIs. However, the current state of...", DUSHIMIMANA Samuel ," Mentor  Gaurav Mishra, Shaheem Azmal M MD, Vivek Kumar, Kaushlendra, Rohit_Pandey ", Organization  FOSSology ,/archive/2023/projects/lGWKqBe6,https://github.com/dushimsam/GSoC-23
9, Jaeger: Make ClickHouse a core storage backend ,This project aims at leveraging the current community jaeger-clickhouse storage plugin and making ClickHouse one of the core storage backend for..., Ha Anh Vu , Mentor  Yuri Shkuro , Organization  CNCF ,/archive/2023/projects/rydbL7aP,https://docs.google.com/document/d/18OlFF7u0C9Fn25If_M6gEWHghJ1GNtWIL9I1vUrq9HQ/edit?usp=sharing
10, Replace OpenGL by a multi-API rendering library in Splash. ,The Splash projection mapping software allows for controlling multiple video projectors together to build a single projection. It is able to adapt to..., Tarek Yasser ," Mentor  Christian Frisson (SAT), Emmanuel Durand, Jean-Michaël Celerier, Christian Frisson, paperManu ", Organization  Society for Arts and Technology (SAT) ,/archive/2023/projects/UlGCj7qL,https://sat-mtl.gitlab.io/collaborations/google-summer-of-code/posts/2023-contributions/knockerpulsar/replace-opengl-by-a-multi-api-rendering-library/
