Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Lua states management for Lunatik ,"Currently, the creation and management of Lua States in Lunatik bindings are made by the binding itself, which can difficult the interoperability of...", Matheus Silva Rodrigues ," Mentor  Victor Nogueira, lneto ", Organization  LabLua ,/archive/2020/projects/5748745045540864,https://matheusntg.github.io/lunatik-states-managment/
2, GeoModelExplorer: improving interactive 3D geometry visualization tool based on Qt3D ,"Interactive visualization can provide intuitive insights for experiment setups and results in many domains, including High Energy Physics. Therefore,...", Huajian Qiu ," Mentor  Edward Moyse, Riccardo Maria Bianchi ", Organization  CERN-HSF ,/archive/2020/projects/5749988472127488,https://github.com/HSF/Qt3DExaminerViewer
3, Adding a CI (Continuous Integration) tool in EAT (EAP Additional Testsuite) ,Develop a CI (Continuous Integration) tool in EAT and make some changes and expansions in project’s documentation. This CI tool will be based on the..., Lkop , Mentor  Panagiotis Sotiropoulos , Organization  JBoss Community ,/archive/2020/projects/5750600471412736,https://github.com/Lkop/GSoC-2020---EAT---JBoss-Community
4, Integrating the MyPaint Brush Engine with Krita ,Artists love to work with MyPaint brushes and it would be nice to integrate the same in Krita. The goal of the project is to integrate the MyPaint..., Ashwin Dhakaita ," Mentor  Dmitry Kazakov, Boudewijn Rempt, Scott Petrovic ", Organization  KDE Community ,/archive/2020/projects/5752078376370176,https://community.kde.org/GSoC/2020/StatusReports/AshwinDhakaita
5, Reduce Bundle Size ,The WikiEduDashboard's current bundle size is around 4.3 MB. That is a lot of code that's being downloaded and parsed on the client. The user..., Amit A Joki , Mentor  Sage Ross , Organization  Wikimedia Foundation ,/archive/2020/projects/5752616992112640,https://amitjoki.github.io/GSoC-2020.html
6, Dynamic Lighting and Shadows ,"This project aims to provide dynamic lighting and shadows in GDevelop using PixiJS. Plugins such as Pixi-layers, Pixi-lights and Pixi-shadows would...", Harsimran Virk ," Mentor  4ian, todor imreorov, Bouh ", Organization  GDevelop ,/archive/2020/projects/5753007297265664,http://wiki.compilgames.net/doku.php/gdevelop5/community/summer-of-code/results
7, Tracing RGW with jaeger ,Implementing tracing in Rados gateway to measure its accurate performance., Abhinav Singh , Mentor  Deepika Upadhyay , Organization  Ceph Foundation ,/archive/2020/projects/5386221183827968,https://github.com/ceph/ceph/pull/36878
8, Provide bank data for financial applications as a SQLite DB and add support for data update ,The idea is to integrate the support for query and generation of SQLite databases into KtoBLZCheck to replace the text files used currently. This..., Prasun Kumar ," Mentor  ipwizard, Ralf Habacker, mahoutsukai ", Organization  KDE Community ,/archive/2020/projects/5386498779643904,https://community.kde.org/GSoC/2020/StatusReports/PrasunKumar
9, Integrate a cluster monitoring and alerting system using Prometheus for the Bassa kubernetes cluster and write client libraries for better usage of Bassa API server. ,Bassa has been deployed on a single node Kubernetes cluster with good orchestration yet there is a need for a dedicated monitoring and alerting..., Mehant Kammakomati ," Mentor  Tharindu Ranathunga, Bhathiya Perera (JaDogg), Milindu Sanoj Kumarage, Pratik Dhanave, Raveen Perera ", Organization  SCoRe Lab ,/archive/2020/projects/5387183793373184,https://github.com/scorelab/GSoC/blob/master/GSoC-2020/Mehant-Kammakomati-Bassa.md
10, Kubernetes operator for XRootD ,"This project aims to develop a Kubernetes Operator for XRootD, along with its related documentation, in order to ease and fully automate deployment...", Shivansh Saini ," Mentor  Andrew Hanushevsky, Yvan Calas, Fabrice Jammes ", Organization  CERN-HSF ,/archive/2020/projects/5388572846194688,https://shivanshs9.me/summers/gsoc/2020-cern-hsf-report
11, Symbolic PathFinder for Neural Network Analysis ,Symbolic PathFinder (SPF) is a tool that uses Java PathFinder at the back-end and can extract path conditions for a program by executing the program..., Usman ," Mentor  Corina Pasareanu, Yannic Noller, Sarfraz Khurshid ", Organization  The Java Pathfinder Team ,/archive/2020/projects/5389292286771200,https://github.com/muhammadusman93/jpf-symbc
12, rco: The R Code Optimizer R Project for Statistical Computing-GSoC 2020 ,This project aims to further bolster the rco (The R Code Optimizer) package and make it a one stop solution for rendering efficient R code. By..., Rahul Saxena ," Mentor  jcrodriguez, Mauricio ""Pachá"" Vargas ", Organization  R Project for Statistical Computing ,/archive/2020/projects/5390205873291264,https://rpubs.com/hinduBale/gsoc2020_final_report
13, Treeherder ,Push Health is a new Dashboard being built inside Treeherder to determine if a push is good based on   calculations of Tasks and Tests success rate..., Suyash Salampuria , Mentor  Joel Maher , Organization  Mozilla ,/archive/2020/projects/5390369753137152,https://medium.com/@ssalampuria/treeherder-gsoc20-5e067cf3ba2c
14, Support tablet interfaces for Oppia android application ,"A lot of parents tend to buy their kids tablet devices to help them learn new things through educational apps. Oppia is one of them, but it doesn't...", Mohamed Medhat , Mentor  Rajat Talesra , Organization  Oppia Foundation ,/archive/2020/projects/5390595004039168,https://medium.com/@mohamed.medhat0298/gsoc-2020-oppia-foundation-ef9ecaf69903
15, Python Module for RF Collisions ,"While observing a satellite from the ground station, it could lead to more than one satellite being visible from the ground station at a given time...", Ravi Charan Nudurupati ," Mentor  Manolis Surligas, fredy, Vasileios Tsiligiannis ", Organization  Libre Space Foundation ,/archive/2020/projects/5393727746473984,https://gitlab.com/librespacefoundation/satnogs/satnogs-collisions
16, Functional Machine Learning Algorithms for Music Generation ,The proposed outcome of this Summer of Haskell research is the production of a library or package for live coding autonomous music through..., Elizabeth Wilson ," Mentor  Austin Huang, Torsten Scholak, Alex McLean ", Organization  Haskell.org ,/archive/2020/projects/5394169725452288,https://blog.tidalcycles.org/autonomous-live-coding-summer-of-haskell-project/
17, Implementation of SBML-JSON converter and SBML-JSON scheme ,The Systems Biology Markup Language (SBML) is the main language for representation and exchange of computational models in biology. JSON is the main..., Hemant ," Mentor  Matthias König, Lucian Smith, Andreas Dräger, Sarah Keating ", Organization  National Resource for Network Biology (NRNB) ,/archive/2020/projects/5395464691646464,https://gist.github.com/Hemant27031999/c2aef36620a7f264993621b393764688
18, Teuthology Scheduling Improvements ,"Enhance scheduling in Ceph’s testing framework, Teuthology, to enable ease of running
large scale tests with reliable prioritizing of different tasks...", Shraddha Agrawal ," Mentor  Neha Ojha, Josh Durgin ", Organization  Ceph Foundation ,/archive/2020/projects/5396341972271104,https://shraddhaag.dev/posts/improving-teuthology-scheduling-gsoc-2020-with-ceph-foundation/
19, Reduce boost dependence in CMSSW ,This project has the goal to find and decrease boost dependencies in CMSSW. Modern C++ introduced a lot of new features that were only available..., Lucas Camolezi ," Mentor  David Lange, Vasil Vasilev ", Organization  CERN-HSF ,/archive/2020/projects/5397144158076928,https://github.com/cms-sw/cmssw/pulls?q=is%3Apr+is%3Aclosed+author%3Acamolezi
20, Implementing ColorChecker detector and a better detector for AprilTag ,"ColorChecker Chart is used for colour calibration, restoring the original image colours under illumination changes. Detecting them is relatively easy...", Ajit Pant ," Mentor  Gary Bradski, Gholamreza Amayeh ", Organization  OpenCV ,/archive/2020/projects/5399089744707584,https://gist.github.com/AjitPant/9d0628a54b5fd9e2605d2d5260d833d7
21, LiberTEM: Enhancement of pipeline to allow reshaping of n-dimensional datasets in the GUI ,"4D STEM data in datasets can be stored with different shapes as different representations may be possible depending on the application. For example,...", Anand Baburajan ," Mentor  Dieter Weber, Alexander Clausen ", Organization  Python Software Foundation ,/archive/2020/projects/5402292951449600,https://github.com/LiberTEM/LiberTEM/pull/793
22, OpenMS R-Package ,"OpenMS, an open-source C++ library for the analysis of mass spectrometric data exposes a large part of its functionality to the Python community via...", Shekhar Shukla ," Mentor  oliveralka, Hannes Rost, Timo Sachsenberg ", Organization  Open Bioinformatics Foundation (OBF) ,/archive/2020/projects/5403269754519552,https://gist.github.com/24sharkS/7cb791091a8301f7c8460f15c04b97a0
23, Blurry Shadows ,"In LibreOffice the shadows are just a copy of the object.
Currently, users can enable the shadow for the object, change its color, its angle,...", Ahmad Ganzouri ," Mentor  Tomaž Vajngerl, Miklos Vajna ", Organization  LibreOffice ,/archive/2020/projects/5403655865368576,https://ahmadganzouri.blogspot.com/2020/08/gsoc-2020-final-report.html
24, Implement Boyer Myrvold Planarity Testing and Make Connected in pgRouting ,Boost::boyer_myrvold_planarity_test A graph is planar if it can be drawn in two-dimensional space with no two of its edges crossing. Such a drawing..., Himanshu Raj ," Mentor  cvvergara, Daniel Kastl ", Organization  OSGeo ,/archive/2020/projects/5404340644216832,https://github.com/pgRouting/pgrouting/wiki/GSoC-2020-Implement-Boyer-Myrvold-Planarity-Testing-and-Make-Connected-in-pgRouting
25, rtracklayer improvements ,"rtracklayer is an Extensible framework for interacting with multiple genome browsers.
The project adds the following new features for rtracklayer.
...", Sanchit Saini ," Mentor  Michael Lawrence, Toby Hocking ", Organization  R Project for Statistical Computing ,/archive/2020/projects/5405905220272128,https://gist.github.com/sanchit-saini/a32d7e3029d8f675420b5f2220426905
26, Implementing Digital Bank/Challenger Bank for staff (back-office) on Fineract CN ,Apache Fineract CN is an Application Framework for Digital Financial Services.  It is a system to support nationwide financial transactions and to..., Abhijeet Khangarot ," Mentor  Pranjal Goswami, Gaurav Saini, Giorgio Zoppi ", Organization  The Mifos Initiative ,/archive/2020/projects/5412582954893312,https://gist.github.com/abhi40308/21cf6f1ac78efe309faaf6a0d6d971e4
27, Type analysis improvements ,"My goal is to improve analysis of object oriented code (C++, etc.), parsing of type information from PDB and DWARF debug formats (and integrating...", Karel Hájek ," Mentor  Florian Märkl, Anton Kochkov, kazarmy ", Organization  Radare ,/archive/2020/projects/5413153480900608,https://gist.github.com/HoundThe/c7632d6ce9697fe4b43726d2d48fda27
28, Control Theory - Implement a control systems package ,"The main aim of this project is to implement in SymPy, a basic control system functionality that would be beneficial for engineers trying to solve...", Naman Gera ," Mentor  Nikhil Maan, Jason Moore, Ishan Joshi ", Organization  SymPy ,/archive/2020/projects/5417784797822976,https://github.com/namannimmo10/Google-Summer-of-Code-with-SymPy
29, Enhancements to Postman code generator ,Code generator has been one of the best features in postman. It helps developers to quickly get snippets for the request in multiple languages and..., Somesh Koli , Mentor  Umesh Pathak , Organization  Postman ,/archive/2020/projects/5421899678482432,https://gist.github.com/someshkoli/3a8cd7f820ed59da56cd1a566f22ab8f
30," UI Improvement, CSS Refactoring and Documentation Improvement ","The idea behind this project is to improve the current CSS code quality by refactoring it and utilizing more SCSS rules, improve UI of commonly used...", Siddharth Varshney , Mentor  Yash Re , Organization  Zulip ,/archive/2020/projects/5422023662108672,https://gist.github.com/SiddharthVarshney/9c572e9aab9a9175331953657b56d333
31, OWASP Python Honeypot ,"Adding the following features to the OWASP Python Honeypot project:

add log explorer WebUI for a tabular view of the data stored in the database....", Chakshu Gupta , Mentor  Ali Razmjoo Qalaei , Organization  OWASP Foundation ,/archive/2020/projects/5422026245799936,https://medium.com/@ChGDream/my-google-summer-of-code-2020-journey-with-owasp-b772c3e67c3f
32, Add login feature to Newman ,This project bridges the gap between Postman and Newman by supporting access to Postman-Cloud resources from Newman. This is done by providing two..., Narayan Pai , Mentor  Udit Vasu , Organization  Postman ,/archive/2020/projects/5423180753141760,https://gist.github.com/narayanpai1/35b8a21280e6867eca95f4007097f458
33, mlpack on RPi and other resource-constrained devices ,"The objective of this project is to minimize mlpack library algorithms to fit into resource constrained devices such as Raspberry PI, Arduino, or...", Omar Shrit ," Mentor  Roberto Hueso Gómez, Ryan Curtin ", Organization  mlpack ,/archive/2020/projects/5423818589339648,https://shrit.me/blog/gsoc_week_9/
34, Seasight Forecasting ,"This project will shows a sea surface temperature chart of a selected region on seas or oceans.
Three options will be abailable for showing the...", Gabriel Izquierdo ," Mentor  Ivan J, Andreu Ibanez, Moisés Martínez Muñoz, Orestes Carracedo ", Organization  Liquid Galaxy project ,/archive/2020/projects/5425394003476480,https://github.com/rascundampelcuf/Seasight-Forecasting
35, The Honeypot Project ,This project focuses on the honeypot project by the OWASP foundation. The goal of the Project is to identify emerging attacks against web..., Chirag Bablani ," Mentor  Felipe Zipitria, Ali Razmjoo Qalaei, Adrian Winckles ", Organization  OWASP Foundation ,/archive/2020/projects/5425812360134656,https://medium.com/owasp-gsoc-2020-the-honeypot-project/gsoc20-the-honeypot-project-with-owasp-35366f26abf2
36, Add Provider API Scripts to CC Catalog ,Provide support for retrieving image information from selected providers through their public APIs to increase the material available  via  CC Search..., Charini Nanayakkara ," Mentor  Kriti Godey, Brent Moran ", Organization  Creative Commons ,/archive/2020/projects/5432326651117568,http://opensource.creativecommons.org/blog/entries/overview-of-the-gsoc-2020-project/
37, Deep Learning For Cubesat: Behavior Segmentation With Collection Of Contextual Information ,"The Polaris project used in-spacecraft data to learn and predict its behavior. The project aimed at adding external sources of data, such as orbit...", Adithya Venkateswaran ," Mentor  Xabier Crespo, Redouane Boumghar, Hugh Brown ", Organization  Libre Space Foundation ,/archive/2020/projects/5432831007784960,https://adithyav1511.gitlab.io/the-final-gsoc-blog
38, Libvirt driver for Jailhouse ,"Jailhouse is a lightweight static partitioning hypervisor based on Linux, which is more concerned with isolation than virtualization. It’s able to...", Prakhar ," Mentor  Jan Kiszka, Michal Prívozník ", Organization  libvirt ,/archive/2020/projects/5436033845428224,https://docs.google.com/document/d/1nf_zQe-3CI6c0Rioj7h3Vzrg99l1wyhfJ__wIQQXv4c/edit?usp=sharing
39, Reinforcement Learning for Autonomous Driving with Gazebo and OpenAI gym ,"JdeRobot provides a set of tools for developing robotic applications, including previous work in autonomous driving robots that use algorithms like a...", Diego Charrez ," Mentor  Sergio Paniego Blanco, David Pascual Hernández ", Organization  JdeRobot - Universidad Rey Juan Carlos ,/archive/2020/projects/5436617289891840,https://theroboticsclub.github.io/colab-gsoc2020-Diego_Charrez/logbook/
40, Amendments to Limit Evaluation and Series Expansion ,"SymPy is a Python library for symbolic mathematics. SymPy has a powerful ""series"" module, which is the backbone of all the limit evaluations...", SACHIN AGARWAL ," Mentor  Sartaj Singh, Kalevi Suominen ", Organization  SymPy ,/archive/2020/projects/5438053587353600,https://github.com/sympy/sympy/wiki/GSoC-2020-Report-Sachin-Agarwal:-Series-and-Limits
41, Improvisation and Implementation of ANN Modules ,"In this project, my goal is to update the existing ANN facilities within mlpack and the deliverable is an improved ANN module. This includes adding...", Anjishnu Mukherjee , Mentor  Sreenik Seal , Organization  mlpack ,/archive/2020/projects/5438203374338048,https://github.com/iamshnoo/mlpack-testing
