Id,Title,Description,Contributor,Mentor,Organization,Archive,Github
1, Java ByteBuffer Support for Nio4r ,"Ruby has no native ByteArray or ByteBuffer types, unlike Java. While it'd be great to have something like this in core Ruby, the next best place...", Upekshe Jayasekera ," Mentor  headius, Tony Arcieri, bai ", Organization  Ruby ,/archive/2016/projects/5743258319716352,https://github.com/celluloid/nio4r/commits/bytebuffers
2, Image Resize/Crop/Rotate Proposal. ,The following is my proposal to the “Ability to crop/resize/rotate an image in atto” project for GSOC. This proposal comes with an already highly..., JoeyAndres , Mentor  Mark Nelson , Organization  Moodle ,/archive/2016/projects/5743497629925376,https://tracker.moodle.org/browse/MDL-44239
3, Work to improve and expand CiviMobile ,"The current release is more than three years old, so the extension has languished somewhat. There are several issues in the outstanding...", ahillier ," Mentor  Guanhuan Chen, Matt Lind ", Organization  CiviCRM ,/archive/2016/projects/5743754254221312,https://github.com/AdamHillier/com.webaccessglobal.module.civimobile/wiki/GSOC-Project:-final-wrap-up
4, Rumal Dennis Parchkov ,"Rumal's aim is to present visually the result from Thug, a tool for studying exploit kits. The currently available version requires some tweaks to...", garou6666 ," Mentor  Pietro Delsante, Fedele Mantuano, Andrea De Pasquale ", Organization  The Honeynet Project ,/archive/2016/projects/5745943345364992,http://dennisparchkov.github.io/
5, Improving Web Based SBGN Editor SBGNViz.js ,SBGNViz.js is an open source web application based on Cytoscape.js to visualize the pathway models represented by SBGN Process Description Notation ...., Metin Can Siper , Mentor  Ugur Dogrusoz , Organization  National Resource for Network Biology (NRNB) ,/archive/2016/projects/5746664899870720,https://docs.google.com/document/d/1BLOgtJ7nppEJuQ5PAxrdRXnXDWXqLeL_IMTcl5L0BHA/edit?usp=sharing
6, Materials Science Advances in Avogadro 2 ,"As a Ph. D. student in a computational chemistry research group involving crystallography, I’m very familiar with many of the features and functions...", Patrick Avery , Mentor  Marcus D. Hanwell , Organization  Open Chemistry ,/archive/2016/projects/5746821397741568,http://avogadro2crystals.blogspot.com/2016/08/gsoc-summary.html
7, Wave Federation protocol over the Matrix Protocol ,SwellRT is a full-stack framework for developing decentralized real-time collaborative apps in JavaScript/Java/Android. It is based upon Apache Wave..., Waqee Khalid ," Mentor  Samer, pablojan ", Organization  Berkman Center for Internet and Society ,/archive/2016/projects/5749069813121024,https://github.com/Waqee/incubator-wave/blob/master/MATRIX-FEDERATION.md
8, Web: Session Sync ,The ultimate goal of my proposal is to allow users of GNOME Web to seamlessly sync data with Firefox with only using a Firefox account. Epiphany will..., Gabriel Ivașcu , Mentor  mcatanzaro , Organization  GNOME ,/archive/2016/projects/5749862234587136,https://git.gnome.org/browse/epiphany/log/?h=wip/ephy-sync&qt=author&q=Gabriel+Ivascu
9, Booting the eCos RTOS on the ArchC Simulator ,This project is aimed at porting a (cut down version priority) operating system on a simulator to understand the actual  performances when..., Jainesh Doshi ," Mentor  Rodolfo Azevedo, Maxiwell ", Organization  ArchC ,/archive/2016/projects/5750684989259776,https://github.com/ArchC/ecos-mips-platform
10, Data-Agnostic Visualization Widgets [Internet Monitor Dashboard] ,"At this stage, the data visualization widgets available in the Internet Monitor Dashboard are all pre-tailored, with the front and back-end closely...", maarouf , Mentor  Reinhard Engels , Organization  Berkman Center for Internet and Society ,/archive/2016/projects/5754182434816000,http://gsoc16.maarouf.me/
11, WEBGRASS ,This idea will focus on the development of web based GUI for the Grass “WebGrass” where people can use Grass modules through a web browser without..., Mayank Agrawal ," Mentor  Massimo Di Stefano, rashadkm ", Organization  OSGeo - The Open Source Geospatial Foundation ,/archive/2016/projects/5386472567865344,https://trac.osgeo.org/grass/wiki/GSoC/2016/WebGrass
12, Context based fuzzy clustering of malware ,"CuckooML will deliver a mechanism to find similarities between malware through analysing reports about them. Additionally, the software will be able...", Kacper ," Mentor  Jurriaan Bremer, hgascon ", Organization  The Honeynet Project ,/archive/2016/projects/5387812597661696,https://honeynet.github.io/cuckooml/2016/08/21/gsoc16-summary/
13, FFv1 P frame support ,This project proposed implementation of P frames with motion compensation and motion estimation support for FFv1 FFmpeg codec and its fine-tuning..., sdolganov ," Mentor  Reynaldo Verdejo, michaelni ", Organization  FFmpeg ,/archive/2016/projects/5391653909037056,https://gist.github.com/theacetoace/1440449c7dc6cb34f4dc797c9bda3e62
14, Improving and expanding the JavaScript XMPP Implementation ,The aim of this project is to replace libpurple's XMPP implementation with JavaScript implementation of XMPP protocol after adding missing features..., Abdelrhman Ahmed ," Mentor  nhnt11, aleth ", Organization  Mozilla ,/archive/2016/projects/5394099624476672,https://wiki.mozilla.org/User:Abdelrhman/gsoc16/summary
15, TAVERNA-880 Browse+use CWL tool descriptions ,"The Taverna suite is consist of Taverna Engine, which handles both Taverna Workbench and
the Taverna Server. Taverna Server is used to execute remote...", Thilina Manamgoda , Mentor  Stian Soiland-Reyes , Organization  Apache Software Foundation ,/archive/2016/projects/5397810476220416,http://maanadevgsoc2016.blogspot.com/2016/08/final-evaluation.html
16, Add Password-based Public-key Encryption to Drupal 8 ,"The goal of this project is to provide a role-based data encryption feature for securely storing highly sensitive data in Drupal 8. Accordingly,...", Muhammad Talha Paracha ," Mentor  Adam Bergstein, colan ", Organization  Drupal ,/archive/2016/projects/5398018513698816,https://github.com/talhaparacha/pubkey_encrypt/commits/gsoc2016?author=talhaparacha
17, Information Visualizations using Datascope ,DataScope is an interactive dashboard system for doing exploratory analysis on large biomedical datasets. Currently the dashboard is splitted into..., Stefan Florea , Mentor  Ganesh Iyer ," Organization  Biomedical Informatics, Emory University ",/archive/2016/projects/5402338713927680,https://bitbucket.org/srflorea/interactive-data-exporation/commits/branch/stefan-gsoc
18, Improve Search Functionality in GNOME Logs ,"My proposal is about improving the current search functionality in GNOME Logs.
The current search functionality doesn't have any graphical option to...", Pranav Ganorkar , Mentor  David King , Organization  GNOME ,/archive/2016/projects/5406874199392256,https://docs.google.com/document/d/1X444jRRdH0AgixSrUFQdwzfeUTiZ9BLQ4XKZsNbaalI/edit?usp=sharing
19, Gentoo Keys Improvements and the new MetaManifest system ,Gentoo-GPG is a python-based project that allows the user/developer to encrypt and sign their data and communications and ensuring integrity of..., aeroniero ," Mentor  Pavlos Ratis, robbat2, Kristian Fiskerstrand, dol-sen ", Organization  Gentoo Foundation ,/archive/2016/projects/5407654004391936,https://blogs.gentoo.org/gsoc2016-gentoo-gpg/2016/08/17/gentoo-gpg-final-report/
20, [scikit-learn] Addition of various enhancements to the tree module by completing stalled pull requests. ,"Scikit-learn (as of this writing, 3/17/2015) currently has 435 opened
pull requests and 699 issues. This project is an attempt to take some of
the...", Nelson Liu ," Mentor  jmschr, Raghav R V ", Organization  Python Software Foundation ,/archive/2016/projects/5412671599935488,http://nelsonliu.me/gsoc_2016/
21, Integrate DroidBOT into Cuckoo Sandbox ,"Cuckcoo Sandbox is an extensible automated malware analysis tool written in Python. Although Cuckcoo Sandbox begins supporting Android OS since v2.0,...", Tin Duong ," Mentor  Jurriaan Bremer, Hugo Gonzalez ", Organization  The Honeynet Project ,/archive/2016/projects/5413166058045440,https://blog.tinduong.pw/automated-android-malware-analysis-with-cuckoo-sandbox-gsoc-2016/
22, Add class-based object-oriented programming to Typed Lua ,This project seeks to design and implement a class system for Typed Lua which will replace its current class definition style. It should feel like a..., Kevin Clancy , Mentor  Fabio Mascarenhas , Organization  LabLua ,/archive/2016/projects/5414114708946944,http://kevinclancy.github.io/2016/08/18/a-class-system-for-typed-lua.html
23, Schedule TaskCluster Jobs in Treeherder ,"Over the last ten years, Mozilla has been using Buildbot as its primary continuous integration tool in order to schedule builds and tests for every...", martianwars , Mentor  armenzg , Organization  Mozilla ,/archive/2016/projects/5418701734019072,http://martiansideofthemoon.github.io/2016/07/19/gsoc-code-review.html
24, Implementing Finite Fields and Set module in SymEngine ,"Polynomial factorization is one of the fundamental tools of the computer algebra systems. And in symbolic mathematics, it is one of the basic...", Nishant Nikhil ," Mentor  thilinarmtb, sumith1896, Ondřej Čertík, isuruf ", Organization  SymPy ,/archive/2016/projects/5419004260777984,https://github.com/symengine/symengine/commits/master?author=nishnik
25, ModSecurity Connector for Apache ,"This connector will create an interface between the Apache Web Server to the libModSecurity. By creating this connector, the target application will...", Tahir Ramzan ," Mentor  Chaim Sanders, Zimmerle ", Organization  ModSecurity ,/archive/2016/projects/5421656939954176,http://tahirramzan.github.io/ModSecurity-apache/
26, Kafka source for syslog-ng ,"The syslog-ng application can read messages from the sources. It processes them with filters, rewrite rules, parsers and finally sends messages to...", Vithulan , Mentor  Viktor Juhasz , Organization  The syslog-ng project ,/archive/2016/projects/5423024350167040,https://vithulanmv.wordpress.com/2016/08/21/syslog-ng-kafka-source-in-depth-analysis/
27, Apache Cassandra: Make streaming operations resumable ,"Apache Cassandra provides different operations which involves streaming within different nodes and data centers like bootstrap, rebuild, decommission...", Kaide Mu ," Mentor  yukim, Paulo Motta ", Organization  Apache Software Foundation ,/archive/2016/projects/5429448547500032,https://gist.github.com/kdmu/55b14b7b4e1b8749fa9194bc5fa7da8c
28, R/Privacy: Raising the quality and trust of data privacy software ,"Data privacy has become one of the hot topics in society, but also in research. In the light of data available to the public or to researchers, data...", Probhonjon Baruah , Mentor  matthiastempl@gmail.com , Organization  Computational Science and Engineering at TU Wien ,/archive/2016/projects/5431294041260032,https://drive.google.com/drive/folders/0B-E7Nkn1YWJXeTJCT285RXladWs?usp=sharing
29, Continuous stabilization of Gentoo Packages ,"Gentoo is an operating system with extreme focus on configurability and performance. To provide fully customizable experience, without interfering...", Pallav Agarwal ," Mentor  bicatali, Nitin Agarwal ", Organization  Gentoo Foundation ,/archive/2016/projects/5432994848309248,http://orca.varstack.com/
30, Improvements to the Conditional Modeling Syntax ,"ASCEND provides support for Conditional modeling, where a model can contain both variant and invariant equations. Invariant equations must be...", hugomg , Mentor  John Pye , Organization  ASCEND ,/archive/2016/projects/5433202885787648,http://ascend4.org/User:Hugo
31," ​Obscure Features, Locking/Unlocking of Access  Protection, EEPROMs and CFI ","The broad goal is to enhance flashrom by adding new and (somewhat) obscure features and, merging pending patches. This project comprises several...", hatim ," Mentor  dhendrix, stefanct ", Organization  coreboot ,/archive/2016/projects/5439533130711040,https://drive.google.com/drive/folders/0B-Cccp-WWmeuUlh5M3pxT0cyQm8
32, LibreCAD 3 Scriptable User Interface Creation ,This project will add to LibreCAD 3 an user interface allowing end-users to create and manipulate elements in the document without having to write a..., Feragon ," Mentor  Dongxu Li, rvt ", Organization  BRL-CAD ,/archive/2016/projects/5442058571481088,https://gsoc16.feragon.net/?d=2016/08/23/17/56/12-final-code-submission
33, Better CSS Style Sheet Support ,"This project aims to enhance the support of CSS style sheets in Inkscape.
The style values stored in the style attributes of the object are not...", Kamalpreet Kaur , Mentor  Tavmjong , Organization  Inkscape ,/archive/2016/projects/5444506165968896,http://kamalpreetgrewal.com/gsoc-2016-work-report/
34, Adding support for the FITS data format in LabPlot ,"Currently LabPlot provides no support on the handling of FITS files. The aim of this project is to provide support for FITS files, and to enable...", Fabian Kristof , Mentor  Stefan Gerlach , Organization  KDE ,/archive/2016/projects/5445058069266432,https://community.kde.org/GSoC/2016/StatusReports/fkristof
35, Ethernet Ring Protection Switching ,Ethernet Ring Protection Switching (ERPS) provide sub-50ms protection and recovery switching for Ethernet traffic in a ring topology and at the same..., Yuanxun , Mentor  gnn , Organization  FreeBSD ,/archive/2016/projects/5447855972024320,https://docs.google.com/document/d/1aeZ1v5jMDn6Ez3-fpegwhAqogZrubFIXkI119mcHd1o/edit?usp=sharing
36," Add ""hardware mixing"" support to HDMI2USB firmware ",This project aims at the development of a hardware mixer block in the HDMI2USB firmware which can implement mixing of the two input pixel stream as..., ssk1328 , Mentor  mithro , Organization  TimVideos.us ,/archive/2016/projects/5448350430134272,https://shashankgangrade.wordpress.com/gsoc-final/
37, ‘aima-python’ code to accompany the book “AI: A Modern Approach” ,"Develop the ""aima-python"" repository by implementing Python code to reflect pseudo-codes from the 4th edition of the book ""AI: A Modern Approach""...", SnShines , Mentor  PeterNorvig , Organization  aimacode ,/archive/2016/projects/5450837216198656,https://docs.google.com/document/d/1U8Nq7ZH-UVxV4hNh51bSDIJe1G6H6LSaO6oZuG4xRb4/edit?usp=sharing
38, The List Extractor ,The project focuses on the extraction of relevant but hidden data which lies inside lists in Wikipedia pages. The information is unstructured and..., FedBai ," Mentor  Emanuele Storti, Marco Fossati, Claudia Diamantini, Domenico Potena ", Organization  dbpediaspotlight ,/archive/2016/projects/5451876061413376,https://github.com/dbpedia/list-extractor
39, Enhancing Language Learning using Mind the Word ,The focus of my project is to make the process of learning a new language less intrusive for a user. This involves two primary changes to the..., ankit_m ," Mentor  Bruno W P, panditaomesh@gmail.com ", Organization  Computational Science and Engineering at TU Wien ,/archive/2016/projects/5454264331665408,http://ankit-m.github.io/2016/08/19/GSOC-Mind-the-Word-Ankit-Muchhala.html
40, Build a web service and auto updating pipeline to provide 3D structure alignments for BioPortal ,cBioPortal provides web resources in cancer genome research. Building a web service to provide protein alignments between ensembl and PDB sequences..., JuexinWang ," Mentor  Pieter, Onur, sheridan ", Organization  cBioPortal for Cancer Genomics ,/archive/2016/projects/5458181341839360,https://github.com/cBioPortal/pdb-annotation/wiki/GSOC-2016-project-summary-and-guide
41, Implement boolean operations on polygons ,"Implement boolean operations on polygon

Computational Geometry has great applications in computer science such as computer graphics, CAD...", Amr Mohamed ," Mentor  JuanPi, John Swensen ", Organization  GNU Octave ,/archive/2016/projects/5461783343005696,https://bitbucket.org/amr_keleg/octave-geometry/commits/all?search=user(Amr)
